ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C001,Client 1,2,T041,GroupA,"{""vip"": false}"
C002,Client 2,4,T021,GroupA,"{""vip"": true}"
C003,Client 3,1,T007,GroupB,"{""vip"": true}"
C004,Client 4,1,T043,GroupA,"{""vip"": false}"
C005,Client 5,3,T002,GroupB,"{""vip"": true}"
C006,Client 6,2,T049,GroupA,"{""vip"": true}"
C007,Client 7,5,T009,GroupB,"{""vip"": false}"
C008,Client 8,3,T038,GroupA,"{""vip"": false}"
C009,Client 9,1,T007,GroupA,"{""vip"": true}"
C010,Client 10,5,T014,GroupA,"{""vip"": true}"
C011,Client 11,5,T027,GroupA,"{""vip"": true}"
C012,Client 12,2,T035,GroupB,"{""vip"": false}"
C013,Client 13,4,T017,GroupB,"{""vip"": false}"
C014,Client 14,4,T013,GroupB,"{""vip"": false}"
C015,Client 15,4,T047,GroupB,"{""vip"": true}"
C016,Client 16,3,T048,GroupA,"{""vip"": true}"
C017,Client 17,2,T017,GroupA,"{""vip"": true}"
C018,Client 18,2,T037,GroupB,"{""vip"": true}"
C019,Client 19,5,T025,GroupA,"{""vip"": false}"
C020,Client 20,4,T013,GroupA,"{""vip"": false}"
C021,Client 21,1,T030,GroupB,"{""vip"": true}"
C022,Client 22,4,T049,GroupB,"{""vip"": false}"
C023,Client 23,3,T010,GroupA,"{""vip"": true}"
C024,Client 24,4,T035,GroupA,"{""vip"": false}"
C025,Client 25,3,T010,GroupA,"{""vip"": true}"
C026,Client 26,5,T031,GroupA,"{""vip"": true}"
C027,Client 27,4,T042,GroupB,"{""vip"": false}"
C028,Client 28,1,T036,GroupA,"{""vip"": true}"
C029,Client 29,5,T006,GroupA,"{""vip"": true}"
C030,Client 30,4,T045,GroupA,"{""vip"": true}"
C031,Client 31,5,T032,GroupA,"{""vip"": true}"
C032,Client 32,1,T032,GroupA,"{""vip"": false}"
C033,Client 33,1,T001,GroupA,"{""vip"": true}"
C034,Client 34,5,T047,GroupB,"{""vip"": true}"
C035,Client 35,1,T014,GroupB,"{""vip"": true}"
C036,Client 36,4,T005,GroupB,"{""vip"": true}"
C037,Client 37,2,T015,GroupA,"{""vip"": true}"
C038,Client 38,1,T001,GroupB,"{""vip"": true}"
C039,Client 39,1,T050,GroupB,"{""vip"": false}"
C040,Client 40,3,T024,GroupB,"{""vip"": false}"
C041,Client 41,2,T009,GroupB,"{""vip"": false}"
C042,Client 42,3,T031,GroupB,"{""vip"": true}"
C043,Client 43,2,T014,GroupA,"{""vip"": true}"
C044,Client 44,2,T033,GroupB,"{""vip"": false}"
C045,Client 45,1,T013,GroupA,"{""vip"": false}"
C046,Client 46,4,T016,GroupB,"{""vip"": false}"
C047,Client 47,2,T004,GroupA,"{""vip"": true}"
C048,Client 48,5,T031,GroupB,"{""vip"": false}"
C049,Client 49,3,T008,GroupB,"{""vip"": false}"
C050,Client 50,2,T024,GroupB,"{""vip"": false}"
C051,Client 51,2,T045,GroupA,"{""vip"": true}"
C052,Client 52,3,T010,GroupA,"{""vip"": true}"
C053,Client 53,4,T014,GroupA,"{""vip"": true}"
C054,Client 54,5,T028,GroupA,"{""vip"": false}"
C055,Client 55,4,T015,GroupB,"{""vip"": false}"
C056,Client 56,4,T035,GroupB,"{""vip"": false}"
C057,Client 57,1,T048,GroupB,"{""vip"": false}"
C058,Client 58,3,T001,GroupA,"{""vip"": false}"
C059,Client 59,1,T047,GroupB,"{""vip"": true}"
C060,Client 60,5,T004,GroupB,"{""vip"": false}"
C061,Client 61,1,T038,GroupA,"{""vip"": false}"
C062,Client 62,5,T020,GroupA,"{""vip"": true}"
C063,Client 63,5,T017,GroupB,"{""vip"": false}"
C064,Client 64,5,T036,GroupA,"{""vip"": true}"
C065,Client 65,4,T022,GroupB,"{""vip"": true}"
C066,Client 66,1,T027,GroupA,"{""vip"": false}"
C067,Client 67,5,T049,GroupA,"{""vip"": true}"
C068,Client 68,5,T006,GroupA,"{""vip"": false}"
C069,Client 69,3,T029,GroupB,"{""vip"": true}"
C070,Client 70,1,T020,GroupB,"{""vip"": false}"
C071,Client 71,5,T007,GroupB,"{""vip"": false}"
C072,Client 72,5,T011,GroupB,"{""vip"": false}"
C073,Client 73,5,T033,GroupA,"{""vip"": true}"
C074,Client 74,3,T032,GroupA,"{""vip"": true}"
C075,Client 75,5,T006,GroupB,"{""vip"": true}"
C076,Client 76,4,T047,GroupB,"{""vip"": false}"
C077,Client 77,2,T034,GroupB,"{""vip"": true}"
C078,Client 78,4,T010,GroupA,"{""vip"": false}"
C079,Client 79,3,T029,GroupB,"{""vip"": true}"
C080,Client 80,3,T011,GroupB,"{""vip"": true}"
C081,Client 81,2,T043,GroupB,"{""vip"": true}"
C082,Client 82,4,T004,GroupA,"{""vip"": false}"
C083,Client 83,3,T050,GroupA,"{""vip"": false}"
C084,Client 84,4,T023,GroupB,"{""vip"": false}"
C085,Client 85,4,T029,GroupA,"{""vip"": true}"
C086,Client 86,3,T033,GroupA,"{""vip"": false}"
C087,Client 87,3,T002,GroupB,"{""vip"": false}"
